Element,Definition,FPDS Data Dictionary Element,Grouping,Domain Values,Domain Values Code Description
Consolidated Contract Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Consolidated Contract Field.,,Award Attribute,A = CONSOLIDATED REQUIREMENTS B = CONSOLIDATED REQUIREMENTS WITH WRITTEN DETERMINATION C = CONSOLIDATED REQUIREMENTS UNDER FAR 7.107-1(B) EXCEPTION D = NOT CONSOLIDATED N = NO Y = YES,"A = Enter Code A when the requirements meet the definition of ""Consolidation"" or ""consolidated requirement"" at FAR 2.101 but a written determination was not made because 1) the estimated value of the requirements were at or below $2 million OR 2) the requirements are bundled and a written determination for bundling is required. This value can only be selected when the ""Date Signed"" is on or later than February 3, 2017. B = Enter Code B when the requirements meet the definition of ""Consolidation"" or ""consolidated requirement"" at FAR 2.101 and a Written Determination is made in accordance with FAR 7.107-2. This value can only be selected when the ""Date Signed"" is on or later than February 3, 2017. C = Enter Code C when the requirements meet the definition of ""Consolidation"" or ""consolidated requirement"" at FAR 2.101 but do not require a written determination in accordance with FAR 7.107-1(b). This value can only be selected when the ""Date Signed"" is on or later than February 3, 2017. D = Enter Code D when the requirements do not meet the definition of ""Consolidation"" or ""consolidated requirement"" at FAR 2.101. This value can only be selected when the ""Date Signed"" is on or later than February 3, 2017. N = Enter 'No' if the contract or order is not funded by DoD, or if the contract or order: (1) has an estimated total value less than or equal to the threshold; (2) has been reported as a Bundled Contract or (3) is not a consolidation of contract requirements. This value can only be selected when the ""Date Signed"" is on or before February 2, 2017. Y = Enter 'Yes' if the contract action is: (1) for a contract or order awarded by DoD or with DoD funding (2) with an estimated total value that exceeds the threshold and (3) the action is a consolidation of contract requirements. This value can only be selected when the ""Date Signed"" is on or before February 2, 2017.Read Less"
ConsolidatedContract,"Consolidation, ""consolidation of contract requirements,"" ""consolidated contract,"" or ""consolidated requirement""- (1) Means a solicitation for a single contract, a multiple-award contract, a task order, or a delivery order to satisfy- (i) Two or more requirements of the Federal agency for supplies or services that have been provided to or performed for the Federal agency under two or more separate contracts, each of which was lower in cost than the total cost of the contract for which offers are solicited; or (ii) Requirements of the Federal agency for construction projects to be performed at two or more discrete sites. (2) ""Separate contract"" as used in this definition, means a contract that has been performed by any business, including small and other than small business concerns.Read Less",Consolidated Contract,Award Attribute,A = CONSOLIDATED REQUIREMENTS B = CONSOLIDATED REQUIREMENTS WITH WRITTEN DETERMINATION C = CONSOLIDATED REQUIREMENTS UNDER FAR 7.107-1(B) EXCEPTION D = NOT CONSOLIDATED N = NO Y = YES,"A = Enter Code A when the requirements meet the definition of ""Consolidation"" or ""consolidated requirement"" at FAR 2.101 but a written determination was not made because 1) the estimated value of the requirements were at or below $2 million OR 2) the requirements are bundled and a written determination for bundling is required. This value can only be selected when the ""Date Signed"" is on or later than February 3, 2017. B = Enter Code B when the requirements meet the definition of ""Consolidation"" or ""consolidated requirement"" at FAR 2.101 and a Written Determination is made in accordance with FAR 7.107-2. This value can only be selected when the ""Date Signed"" is on or later than February 3, 2017. C = Enter Code C when the requirements meet the definition of ""Consolidation"" or ""consolidated requirement"" at FAR 2.101 but do not require a written determination in accordance with FAR 7.107-1(b). This value can only be selected when the ""Date Signed"" is on or later than February 3, 2017. D = Enter Code D when the requirements do not meet the definition of ""Consolidation"" or ""consolidated requirement"" at FAR 2.101. This value can only be selected when the ""Date Signed"" is on or later than February 3, 2017. N = Enter 'No' if the contract or order is not funded by DoD, or if the contract or order: (1) has an estimated total value less than or equal to the threshold; (2) has been reported as a Bundled Contract or (3) is not a consolidation of contract requirements. This value can only be selected when the ""Date Signed"" is on or before February 2, 2017. Y = Enter 'Yes' if the contract action is: (1) for a contract or order awarded by DoD or with DoD funding (2) with an estimated total value that exceeds the threshold and (3) the action is a consolidation of contract requirements. This value can only be selected when the ""Date Signed"" is on or before February 2, 2017.Read Less"
Construction Wage Rate Requirements Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Wage Rate Requirements (Construction) Field.,,Award Attribute,Y = Yes N = No X = Not Applicable,Y = Transaction is subject to Construction Wage Rate Requirements. N = Transaction is not subject to Construction Wage Rate Requirements. X = Construction Wage Rate Requirements is not applicable for the transaction - not construction.Read Less
ConstructionWageRateRequirements,"Indicates whether the transaction is subject to the Construction Wage Rate Requirements. The clause is 52.222-6 ""Construction Wage Rate Requirements"" -that goes with Wage Rate Requirements (Construction) (formerly Davis-Bacon Act).Read Less",Construction Wage Rate Requirements,Award Attribute,Y = Yes N = No X = Not Applicable,Y = Transaction is subject to Construction Wage Rate Requirements. N = Transaction is not subject to Construction Wage Rate Requirements. X = Construction Wage Rate Requirements is not applicable for the transaction - not construction.Read Less
Contract Bundling Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Contract Bundling Field.,,Award Attribute,A = MISSION CRITICAL B = OMB Circular A-76 C = OTHER D = NOT A BUNDLED REQUIREMENT E = BUNDLED REQUIREMENTS F = SUBSTANTIALLY BUNDLED REQUIREMENTS G = BUNDLED REQUIREMENTS UNDER A FAR 7.107-1(B) EXCEPTION H = NOT BUNDLEDRead Less,"A = Enter Code A if the agency has determined that the bundled requirements is critical to the agency's mission, but the measurably substantial benefits do not meet the thresholds set forth in the FAR 7.107 to determine that the consolidation is necessary and justified. This value will no longer be able to be selected on or later than February 3, 2017. B = Enter Code B if the agency used the OMB Circular A-76 process to determine that the bundling of the requirements is necessary and justified rather than applying the substantial benefits analysis required by FAR 7.107. Code B cannot be selected if the requirement is substantially bundled. This value will no longer be able to be selected on or later than February 3, 2017. C = Enter Code C when the requirement is ""Bundled"" and Codes A, B and C do not apply. This value will no longer be able to be selected on or later than February 3, 2017. D = Enter Code D if the requirement is not ""Bundled"". This value will no longer be able to be selected on or later than February 3, 2017. E = Enter Code E when the requirements meet the definition of ""Bundling"" at FAR 2.101. These values can be selected on or later than February 3, 2017. F = Enter Code F when the requirements meet the definition of ""Bundling"" at FAR 2.101 but has an estimated value outlined at FAR 7.107-4 Substantial Bundling. These values can be selected on or later than February 3, 2017. G = Enter Code G when the requirements meet the definition of ""Bundling"" at FAR 2.101 but do not require a written determination in accordance with FAR 7.107-1(b). These values can be selected on or later than February 3, 2017. H = Enter Code H when the requirements do not meet the definition of ""Bundling"" at FAR 2.101. These values can be selected on or later than February 3, 2017.Read Less"
Contract Financing Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Contract Financing Field.,,Award Attribute,A = FAR 52.232-16 PROGRESS PAYMENTS C = PERCENTAGE OF COMPLETION PROGRESS PAYMENTS D = UNUSUAL PROGRESS PAYMENTS OR ADVANCE PAYMENTS E = COMMERCIAL FINANCING F = PERFORMANCE-BASED FINANCING Z = NOT APPLICABLERead Less,
Contract Opportunities Notice Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the FedBizOpps Field.,,Award Attribute,Y = YES N = NO X = NOT APPLICABLE,Y = Transaction subject to Contract Opportunities Notice N = Transaction subject to FAR 5.102 or 5.202 exception X = Transaction with Action Obligation less than or equal to $25K
ContractAuthorityAmountTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Contract authority is a type of budget authority that permits you to incur obligations in advance of an appropriation, offsetting collections, or receipts to make outlays to liquidate the obligations. Typically, the Congress provides contract authority in an authorizing statute to allow you to incur obligations in anticipation of the collection of receipts or offsetting collections that will be used to liquidate the obligations.Read Less",,Account Resources,,
ContractAwardType,"The type of award being entered by this transaction. Types of awards include Purchase Orders (PO), Delivery Orders (DO), Blanket Purchase Agreements (BPA) Calls and Definitive Contracts.",Award Type,Award Attribute,A = BPA Call B = Purchase Order C = Delivery Order D = Definitive Contract,A = Enter this code for an award that is a call against a BPA. B = Enter this code for an award that is a Purchase Order (PO). C = Enter this code for an award that is a Delivery Order or Task Order under an IDV. D = Enter this code for an award that is a Definitive Contract.Read Less
ContractAwardTypeDescriptionTag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the ContractAwardType Field.,,Award Attribute,A = BPA Call B = Purchase Order C = Delivery Order D = Definitive Contract,A = Enter this code for an award that is a call against a BPA. B = Enter this code for an award that is a Purchase Order (PO). C = Enter this code for an award that is a Delivery Order or Task Order under an IDV. D = Enter this code for an award that is a Definitive Contract.Read Less
ContractBundling,"""Bundling"" or ""bundled contract"" (1) Means the consolidating or combining of two or more requirements for supplies or services, previously provided or performed under separate smaller contracts, into a solicitation for a single contract, a multiple-award contract, a task order or delivery order that is likely to be unsuitable for award to a small business concern(but may be suitable for award to a small business with a Small Business Teaming Arrangement) due to-(i) The diversity, size, or specialized nature of the elements of the performance specified; (ii) The aggregate dollar value of the anticipated award; (iii) The geographical dispersion of the contract performance sites; or (iv) Any combination of the factors described in paragraphs (1)(i), (ii), and (iii) of this definition. (2) ""Separate smaller contract"" as used in this definition, means a contract that has been performed by one or more small business concerns or that was suitable for award to one or more small business concerns.Read Less",Contract Bundling,Award Attribute,A = MISSION CRITICAL B = OMB Circular A-76 C = OTHER D = NOT A BUNDLED REQUIREMENT E = BUNDLED REQUIREMENTS F = SUBSTANTIALLY BUNDLED REQUIREMENTS G = BUNDLED REQUIREMENTS UNDER A FAR 7.107-1(B) EXCEPTION H = NOT BUNDLEDRead Less,"A = Enter Code A if the agency has determined that the bundled requirements is critical to the agency's mission, but the measurably substantial benefits do not meet the thresholds set forth in the FAR 7.107 to determine that the consolidation is necessary and justified. This value will no longer be able to be selected on or later than February 3, 2017. B = Enter Code B if the agency used the OMB Circular A-76 process to determine that the bundling of the requirements is necessary and justified rather than applying the substantial benefits analysis required by FAR 7.107. Code B cannot be selected if the requirement is substantially bundled. This value will no longer be able to be selected on or later than February 3, 2017. C = Enter Code C when the requirement is ""Bundled"" and Codes A, B and C do not apply. This value will no longer be able to be selected on or later than February 3, 2017. D = Enter Code D if the requirement is not ""Bundled"". This value will no longer be able to be selected on or later than February 3, 2017. E = Enter Code E when the requirements meet the definition of ""Bundling"" at FAR 2.101. These values can be selected on or later than February 3, 2017. F = Enter Code F when the requirements meet the definition of ""Bundling"" at FAR 2.101 but has an estimated value outlined at FAR 7.107-4 Substantial Bundling. These values can be selected on or later than February 3, 2017. G = Enter Code G when the requirements meet the definition of ""Bundling"" at FAR 2.101 but do not require a written determination in accordance with FAR 7.107-1(b). These values can be selected on or later than February 3, 2017. H = Enter Code H when the requirements do not meet the definition of ""Bundling"" at FAR 2.101. These values can be selected on or later than February 3, 2017.Read Less"
